wormbase_gene_id,gene_symbol,gene_function,protein_domains,chromosome,strand,biotype,gene_length,pis_total_hits,pgs_total_hits,pis_total_density_per_kb,pgs_total_density_per_kb,pis_CDS_hits,pgs_CDS_hits,pis_five_prime_UTR_hits,pgs_five_prime_UTR_hits,pis_three_prime_UTR_hits,pgs_three_prime_UTR_hits,pis_intron_hits,pgs_intron_hits,pis_promoter_hits,pgs_promoter_hits
__intergenic__,__intergenic__,,,,,,0,554,541,0.0,0.0,0,0,0,0,0,0,0,0,0,0
WBGene00005605,srj-17,none available,,V,+,pseudogene,2792,16,0,5.7307,0.0,16,0,0,0,0,0,0,0,0,0
WBGene00006786,unc-51,"unc-51 encodes a serine/threonine protein kinase orthologous to Saccharomyces cerevisiae autophagy protein Atg1p and the vertebrate ULK proteins; unc-51 is required for axon outgrowth along the anterior-posterior axis and sex myoblast migration; in regulating axon outgrowth, UNC-51 functions together with the VAB-8 kinesin-like protein and UNC-14, both of which physically interact with, and are phosphorylated by, UNC-51, and with the UNC-5 Netrin receptor, whose subcellular localization in neurons is regulated by UNC-51 and UNC-14; in addition, UNC-51 is required for normal dauer morphogenesis of daf-2 mutant animals; UNC-51 is expressed in all C. elegans neurons and in body wall and pharyngeal muscles; in neurons, an UNC-51::GFP fusion protein shows punctate cytoplasmic localization in axons and cell bodies and partial co-localization with UNC-14 and UNC-5.","Protein kinase domain; Protein kinase-like domain; Serine/threonine-protein kinase Unc-51; Serine/threonine-protein kinase, C-terminal",V,-,protein_coding,8500,0,14,0.0,1.6471,0,13,0,0,0,0,0,1,0,0
WBGene00008500,F01D5.10,none available,Protein of unknown function DUF595; Sulfotransferase,II,-,protein_coding,3495,0,10,0.0,2.8612,0,1,0,0,0,0,0,9,0,0
WBGene00015197,B0454.6,none available,"Amino acid/polyamine transporter I; Cationic amino acid transporter, C-terminal",II,+,protein_coding,3343,0,9,0.0,2.6922,0,2,0,0,0,0,0,7,0,0
WBGene00002181,kal-1,"kal-1 encodes a cell surface protein that contains a WAP-type protease inhibitor domain and Type III fibronectin domains and is the C. elegans ortholog of human KAL-1, mutated in the X-linked form of the neurological disorder Kallmann syndrome; in C. elegans, both kal-1 loss-of-function mutations and kal-1 overexpression result in similar phenotypes that indicate KAL-1 activity is required for epithelial morphogenesis and axon branching; kal-1 transcriptional reporters reveal expression beginning in the 50-cell stage embryo in 2-3 cells with later embryonic expression in at least 8-10 AB-derived ventral neuroblasts that are a substrate for migrating epidermal cells during ventral enclosure; later expression in larvae and adults is restricted to anterior neurons, including AIY, AIZ, RID, M5, ASI, and labial sensory neurons, ventral nerve cord motorneurons, midbody neurons HSN, CAN, and PVM, tail neurons DVB, DVC, and PDB, and the nonneuronal excretory cell as well as in uterine muscles; in the AIY interneurons, kal-1 is part of a gene battery whose expression is under the control of the CEH-10 and TTX-3 Paired and LIM-type homeodomains, respectively.",Fibronectin type III; Immunoglobulin-like fold; WAP-type 'four-disulfide core' domain,I,-,protein_coding,13617,6,2,0.4406,0.1469,0,1,0,0,0,0,6,1,0,0
WBGene00004165,pqn-84,"The protein product of this gene is predicted to contain a glutamine/asparagine (Q/N)-rich ('prion') domain, by the algorithm of Michelitsch and Weissman (as of the WS77 release of WormBase, i.e., in wormpep77).","Concanavalin A-like lectin/glucanase domain; Galectin, carbohydrate recognition domain",III,+,protein_coding,2604,7,1,2.6882,0.384,5,1,0,0,0,0,2,0,0,0
WBGene00007583,C14B4.2,none available,,V,-,protein_coding,30315,1,7,0.033,0.2309,0,0,0,0,0,0,1,7,0,0
WBGene00022518,zfh-2,"zfh-2 is a homeobox gene of the ZF (zinc finger class); it encodes three homeodomains and encodes at last 15 zinc fingers; the ZF class is subdivided into several families; zfh-2 belongs to the Zfhx family and is orthologous to Drosophila zfh-2, and the three paralogous human genes ZFHX2, ZFHX3, and ZFHX4 (zinc finger homeobox 2, 3, 4); zfh-2 is involved in hermaphrodite genitalia development, locomotion, nematode larval development and receptor-mediated endocytosis; zfh-2 is predicted to have DNA binding activity and zinc ion binding activity, based on protein domain information; zfh-2 is expressed in the anal depressor muscle, anal sphincter muscle, body wall musculature, vulval muscle, and the nerve ring.","Homeobox domain; Homeobox domain-like; Matrin/U1-C-like, C2H2-type zinc finger; Zinc finger C2H2-type",I,+,protein_coding,31398,6,1,0.1911,0.0318,1,0,0,0,0,0,5,1,0,0
WBGene00201191,F57G4.14,none available,,V,-,ncRNA,202,0,7,0.0,34.6535,0,0,0,0,0,0,0,7,0,0
