wormbase_gene_id,gene_symbol,gene_function,protein_domains,chromosome,strand,biotype,gene_start,gene_end,gene_length,g_count,c_count,a_count,t_count,g_percentage,c_percentage,gc_percentage,five_prime_UTR_length,CDS_length,intron_length,three_prime_UTR_length,exon_length,promoter_length,TSS_region_length,gene_body_length,intergenic_length,pis_five_prime_UTR_count,pis_CDS_count,pis_intron_count,pis_three_prime_UTR_count,pis_exon_count,pis_promoter_count,pis_TSS_region_count,pis_gene_body_count,pis_intergenic_count,pis_total,pis_five_prime_UTR_density_per_kb,pis_CDS_density_per_kb,pis_intron_density_per_kb,pis_three_prime_UTR_density_per_kb,pis_exon_density_per_kb,pis_promoter_density_per_kb,pis_TSS_region_density_per_kb,pis_gene_body_density_per_kb,pis_intergenic_density_per_kb,pis_total_density_per_kb,pgs_five_prime_UTR_count,pgs_CDS_count,pgs_intron_count,pgs_three_prime_UTR_count,pgs_exon_count,pgs_promoter_count,pgs_TSS_region_count,pgs_gene_body_count,pgs_intergenic_count,pgs_total,pgs_five_prime_UTR_density_per_kb,pgs_CDS_density_per_kb,pgs_intron_density_per_kb,pgs_three_prime_UTR_density_per_kb,pgs_exon_density_per_kb,pgs_promoter_density_per_kb,pgs_TSS_region_density_per_kb,pgs_gene_body_density_per_kb,pgs_intergenic_density_per_kb,pgs_total_density_per_kb
__intergenic__,__intergenic__,,,,,,1,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,554,554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,541,541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WBGene00005605,srj-17,none available,,V,+,pseudogene,2776442,2779233,2792,499,793,670,830,17.87,28.4,46.28,0,0,0,0,0,0,0,2792,0,0,16,0,0,0,0,0,16,0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7307,0.0,5.7307,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WBGene00006786,unc-51,"unc-51 encodes a serine/threonine protein kinase orthologous to Saccharomyces cerevisiae autophagy protein Atg1p and the vertebrate ULK proteins; unc-51 is required for axon outgrowth along the anterior-posterior axis and sex myoblast migration; in regulating axon outgrowth, UNC-51 functions together with the VAB-8 kinesin-like protein and UNC-14, both of which physically interact with, and are phosphorylated by, UNC-51, and with the UNC-5 Netrin receptor, whose subcellular localization in neurons is regulated by UNC-51 and UNC-14; in addition, UNC-51 is required for normal dauer morphogenesis of daf-2 mutant animals; UNC-51 is expressed in all C. elegans neurons and in body wall and pharyngeal muscles; in neurons, an UNC-51::GFP fusion protein shows punctate cytoplasmic localization in axons and cell bodies and partial co-localization with UNC-14 and UNC-5.","Protein kinase domain; Protein kinase-like domain; Serine/threonine-protein kinase Unc-51; Serine/threonine-protein kinase, C-terminal",V,-,protein_coding,19995986,20004485,8500,2002,1676,2410,2412,23.55,19.72,43.27,65,2571,5603,261,2897,0,0,8500,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,13,1,0,0,0,0,14,0,14,0.0,5.0564,0.1785,0.0,0.0,0.0,0.0,1.6471,0.0,1.6471
WBGene00008500,F01D5.10,none available,Protein of unknown function DUF595; Sulfotransferase,II,-,protein_coding,14017836,14021330,3495,942,604,913,1036,26.95,17.28,44.23,124,1044,2204,129,1297,0,0,3495,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,9,0,0,0,0,10,0,10,0.0,0.9579,4.0835,0.0,0.0,0.0,0.0,2.8612,0.0,2.8612
WBGene00015197,B0454.6,none available,"Amino acid/polyamine transporter I; Cationic amino acid transporter, C-terminal",II,+,protein_coding,3032780,3036122,3343,773,776,787,1007,23.12,23.21,46.34,4,1758,1367,214,1976,0,0,3343,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,7,0,0,0,0,9,0,9,0.0,1.1377,5.1207,0.0,0.0,0.0,0.0,2.6922,0.0,2.6922
WBGene00002181,kal-1,"kal-1 encodes a cell surface protein that contains a WAP-type protease inhibitor domain and Type III fibronectin domains and is the C. elegans ortholog of human KAL-1, mutated in the X-linked form of the neurological disorder Kallmann syndrome; in C. elegans, both kal-1 loss-of-function mutations and kal-1 overexpression result in similar phenotypes that indicate KAL-1 activity is required for epithelial morphogenesis and axon branching; kal-1 transcriptional reporters reveal expression beginning in the 50-cell stage embryo in 2-3 cells with later embryonic expression in at least 8-10 AB-derived ventral neuroblasts that are a substrate for migrating epidermal cells during ventral enclosure; later expression in larvae and adults is restricted to anterior neurons, including AIY, AIZ, RID, M5, ASI, and labial sensory neurons, ventral nerve cord motorneurons, midbody neurons HSN, CAN, and PVM, tail neurons DVB, DVC, and PDB, and the nonneuronal excretory cell as well as in uterine muscles; in the AIY interneurons, kal-1 is part of a gene battery whose expression is under the control of the CEH-10 and TTX-3 Paired and LIM-type homeodomains, respectively.",Fibronectin type III; Immunoglobulin-like fold; WAP-type 'four-disulfide core' domain,I,-,protein_coding,14128591,14142207,13617,2633,2859,4174,3951,19.34,21.0,40.33,3,2103,11301,210,2316,0,0,13617,0,0,0,6,0,0,0,0,6,0,6,0.0,0.0,0.5309,0.0,0.0,0.0,0.0,0.4406,0.0,0.4406,0,1,1,0,0,0,0,2,0,2,0.0,0.4755,0.0885,0.0,0.0,0.0,0.0,0.1469,0.0,0.1469
WBGene00004165,pqn-84,"The protein product of this gene is predicted to contain a glutamine/asparagine (Q/N)-rich ('prion') domain, by the algorithm of Michelitsch and Weissman (as of the WS77 release of WormBase, i.e., in wormpep77).","Concanavalin A-like lectin/glucanase domain; Galectin, carbohydrate recognition domain",III,+,protein_coding,11700259,11702862,2604,604,657,673,670,23.2,25.23,48.43,21,1179,1361,43,1243,0,0,2604,0,0,5,2,0,0,0,0,7,0,7,0.0,4.2409,1.4695,0.0,0.0,0.0,0.0,2.6882,0.0,2.6882,0,1,0,0,0,0,0,1,0,1,0.0,0.8482,0.0,0.0,0.0,0.0,0.0,0.384,0.0,0.384
WBGene00007583,C14B4.2,none available,,V,-,protein_coding,19332354,19362668,30315,5535,5456,9614,9710,18.26,18.0,36.26,83,5331,24507,401,5815,0,0,30315,0,0,0,1,0,0,0,0,1,0,1,0.0,0.0,0.0408,0.0,0.0,0.0,0.0,0.033,0.0,0.033,0,0,7,0,0,0,0,7,0,7,0.0,0.0,0.2856,0.0,0.0,0.0,0.0,0.2309,0.0,0.2309
WBGene00022518,zfh-2,"zfh-2 is a homeobox gene of the ZF (zinc finger class); it encodes three homeodomains and encodes at last 15 zinc fingers; the ZF class is subdivided into several families; zfh-2 belongs to the Zfhx family and is orthologous to Drosophila zfh-2, and the three paralogous human genes ZFHX2, ZFHX3, and ZFHX4 (zinc finger homeobox 2, 3, 4); zfh-2 is involved in hermaphrodite genitalia development, locomotion, nematode larval development and receptor-mediated endocytosis; zfh-2 is predicted to have DNA binding activity and zinc ion binding activity, based on protein domain information; zfh-2 is expressed in the anal depressor muscle, anal sphincter muscle, body wall musculature, vulval muscle, and the nerve ring.","Homeobox domain; Homeobox domain-like; Matrin/U1-C-like, C2H2-type zinc finger; Zinc finger C2H2-type",I,+,protein_coding,803368,834765,31398,6126,6768,8828,9676,19.51,21.56,41.07,34,4848,26419,97,4979,0,0,31398,0,0,1,5,0,0,0,0,6,0,6,0.0,0.2063,0.1893,0.0,0.0,0.0,0.0,0.1911,0.0,0.1911,0,0,1,0,0,0,0,1,0,1,0.0,0.0,0.0379,0.0,0.0,0.0,0.0,0.0318,0.0,0.0318
WBGene00201191,F57G4.14,none available,,V,-,ncRNA,17629496,17629697,202,77,50,25,50,38.12,24.75,62.87,0,0,0,0,202,0,0,202,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,7,0,0,0,0,7,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.6535,0.0,34.6535
