wormbase_gene_id,gene_symbol,gene_function,protein_domains,chromosome,strand,biotype,n_transcripts,pis_total_hits,pis_transcripts_with_any,pis_transcripts_with_utr5,pis_transcripts_with_cds,pis_transcripts_with_utr3,pis_pct_transcripts_with_any,pis_pct_transcripts_with_utr5,pis_pct_transcripts_with_cds,pis_pct_transcripts_with_utr3,pis_avg_density_utr5,pis_avg_density_cds,pis_avg_density_utr3,pis_avg_total_density,pgs_total_hits,pgs_transcripts_with_any,pgs_transcripts_with_utr5,pgs_transcripts_with_cds,pgs_transcripts_with_utr3,pgs_pct_transcripts_with_any,pgs_pct_transcripts_with_utr5,pgs_pct_transcripts_with_cds,pgs_pct_transcripts_with_utr3,pgs_avg_density_utr5,pgs_avg_density_cds,pgs_avg_density_utr3,pgs_avg_total_density
WBGene00000894,dab-1,"dab-1 encodes an ortholog of the cytoplasmic adaptor protein DISABLED,required for normal molting and meiotic arrest; DAB-1 is also required forEGL-17 secretion from vulval cells, and thus indirectly for normal sexmyoblast (SM) migration and egg-laying; DAB-1 contains a conserved PTBdomain and signals that confer localization to Golgi-proximal vesicles,and DAB-1 localizes to vesicular structures in vivo; dab-1 is expressed inventral precursor cells, and DAB-1 prevents EGL-17 protein accumulation inthem; dab-1 is also expressed in other cells (anchor cell, sheath cells,etc.) but has no obvious function in them; DAB-1 binds the cytoplasmicdomains of either LRP-1 or LRP-2 in yeast two-hybrid experiments;dab-1(gk291) and dab-1(RNAi) animals have similar defects in molting,EGL-17 secretion from VPCs, SM migration, and egg-laying; dab-1(RNAi) doesnot enhance the SM phenotypes of lrp-1(RNAi) or lrp-2(RNAi), suggestingthat these genes act in concert to promote normal EGL-17 secretion and SMmigration; in vitro, DAB-1 binds to the ear domains of APT-4 (strongly)and of APT-1 and APT-9 (weakly); genetically, dab-1(RNAi) functions aspart of the vab-1 pathway in oocytes inhibiting meiotic maturation, andDAB-1 is found in oocyte cytoplasm.",PH domain-like; PTB/PI domain; Protein disabled,II,+,protein_coding,11,11,11,0,0,11,100.0,0.0,0.0,100.0,0.0,0.0,1.8923,0.4844,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WBGene00016405,hecd-1,none available,Ankyrin repeat; Ankyrin repeat-containing domain; Armadillo-like helical; Armadillo-type fold; Galactose-binding domain-like; HECT domain; Mib-herc2; SUN domain,IV,-,protein_coding,10,10,10,0,0,10,100.0,0.0,0.0,100.0,0.0,0.0,1.9493,0.1177,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WBGene00010770,K11D2.4,none available,Zinc finger C2H2-type,I,+,protein_coding,6,9,3,0,0,3,50.0,0.0,0.0,50.0,0.0,0.0,1.9455,0.6927,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WBGene00002203,kin-20,none available,Protein kinase domain; Protein kinase-like domain,X,-,protein_coding,8,7,7,0,0,7,87.5,0.0,0.0,87.5,0.0,0.0,0.7397,0.3755,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WBGene00004373,rme-1,"rme-1 encodes a conserved, EPS15 homology (EH) domain-containing protein; RME-1 is required for endocytosis, specifically for modulating endocytic transport through the endosomal recycling compartment (ERC); RME-1 is ubiquitously expressed and, in the polarized intestinal epithelium, is found on basolateral recycling endosomes.","Dynamin superfamily; EF-hand domain pair; EH domain; EH domain-containing protein, N-terminal; P-loop containing nucleoside triphosphate hydrolase",V,+,protein_coding,12,7,7,0,0,7,58.33,0.0,0.0,58.33,0.0,0.0,1.4763,0.2469,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WBGene00044200,H37A05.4,none available,,V,-,protein_coding,2,1,1,1,0,0,50.0,50.0,0.0,0.0,0.3615,0.0,0.0,0.2175,6,2,0,2,0,100.0,0.0,100.0,0.0,0.0,3.6662,0.0,2.5321
WBGene00001147,eat-18,"eat-18 encodes a small novel protein with an intracellular N terminus, a single predicted transmembrane domain, and a short, extracellular carboxy terminus; eat-18 is required for proper nicotinic neurotransmission by the excitatory pharyngeal MC neuron and thus, for rapid pharyngeal pumping in the presence of food; eat-18 is also required for alpha-bungarotoxin-binding to pharyngeal nicotinic receptors, suggesting that EAT-18 is required for normal topology of most or all nicotinic receptors in postsynaptic cells in the pharynx; an EAT-18::GFP fusion protein is expressed in pharyngeal muscle, the M5 pharyngeal motor neuron, and five to six unidentified extrapharyngeal neurons; eat-18 displays allele-specific genetic interactions with eat-2, which encodes a non-alpha-nicotonic acetylcholine receptor subunit expressed in pharyngeal muscle and also required for proper regulation of the pharyngeal pumping rate.",,I,+,protein_coding,4,6,3,3,0,0,75.0,75.0,0.0,0.0,15.5625,0.0,0.0,0.5012,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WBGene00003048,lit-1,"lit-1 encodes a serine threonine protein kinase homolog related to the Drosophila protein Nemo; lit-1 is required for embryonic viability and plays a central role in controlling the asymmetry of cell divisions during embryogenesis; lit-1 acts downstream of mom-2 with respect to polarity defects and mediates larval cell fate decisions that involve POP-1; lit-1 is also required for amphid channel morphogenesis and thus, also for normal morphology of the outer labial sensilla; specifically, lit-1 is required in sheath glia for positively regulating amphid sensory compartment expansion; lit-1 is expressed in most embryonic and larval cells, including the amphid sheath glia.",Protein kinase domain; Protein kinase-like domain,III,+,protein_coding,7,6,6,0,0,6,85.71,0.0,0.0,85.71,0.0,0.0,0.9097,0.3184,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WBGene00003916,par-1,"par-1 encodes a serine-threonine kinase; maternally provided PAR-1 is essential for establishing early embryonic polarity; PAR-1 is present in the cytoplasm and in the cell cortex and asymmetrically localized to the posterior cortex of late one-cell stage embryos; PAR-1 is continuously asymmetrically localized to the P lineage (germline blastomeres) at each subsequent division, and evenly distributed to the Z2 and Z3 germline precursors before eventually fading at embryonic morphogenesis; PAR-1 kinase activity is required for the asymmetric distribution of MEX-5 in the early embryo via a phosphorylation/dephosphorylation cycle that regulates MEX-5's association with slow- or fast-diffusing RNA-containing complexes; PAR-1 can phosphorylate MEX-5 in vitro and in vivo.","KA1 domain/Ssp2, C-terminal; Kinase associated domain 1 (KA1); Protein kinase domain; Protein kinase-like domain; Serine/threonine-protein kinase MARK/par1",V,-,protein_coding,18,6,6,0,0,6,33.33,0.0,0.0,33.33,0.0,0.0,0.3127,0.0739,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WBGene00006751,unc-11,"unc-11 encodes multiple isoforms of a clathrin-adaptor protein AP180 (OMIM:603025) that functions in clathrin-mediated endocytosis; UNC-11 is essential for embryogenesis, locomotion, and pharyngeal pumping, and regulates neurotransmitter release by controlling vesicle trafficking and fusion; UNC-11 is also required for localization of SNB-1/synaptobrevin to synaptic vesicles, thus acting as a sorting protein as well as a clathrin-adaptor protein; UNC-11 is expressed at high levels in nearly all neurons, where it is enriched at presynaptic terminals, and is also expressed in coelomocytes, the uv1 secretory cells of the vulva, and the intestine.","AP180 N-terminal homology (ANTH) domain; ENTH  domain; ENTH/VHS; Phosphoinositide-binding clathrin adaptor, domain 2",I,-,protein_coding,7,6,6,0,0,6,85.71,0.0,0.0,85.71,0.0,0.0,1.0848,0.3305,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
